time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-31 00:00:00+00:00,,,128.0,9.0
2026-02-01 00:00:00+00:00,,,105.0,6.0
2026-02-02 00:00:00+00:00,263.0,38.0,78.0,6.0
2026-02-03 00:00:00+00:00,303.0,58.0,93.0,9.0
2026-02-04 00:00:00+00:00,214.0,40.0,52.0,3.0
2026-02-05 00:00:00+00:00,357.0,58.0,168.0,19.0
2026-02-06 00:00:00+00:00,319.0,72.0,94.0,13.0
2026-02-07 00:00:00+00:00,84.0,17.0,28.0,4.0
2026-02-08 00:00:00+00:00,93.0,21.0,11.0,3.0
2026-02-09 00:00:00+00:00,188.0,50.0,69.0,6.0
2026-02-10 00:00:00+00:00,5.0,5.0,5.0,3.0
2026-02-11 00:00:00+00:00,0.0,0.0,18.0,10.0
2026-02-12 00:00:00+00:00,116.0,15.0,44.0,5.0
2026-02-13 00:00:00+00:00,3.0,3.0,11.0,6.0
2026-02-14 00:00:00+00:00,46.0,11.0,,
2026-02-15 00:00:00+00:00,521.0,36.0,,
